# GFS model data - simplified CSV format
# level_hPa, temperature_K, u_wind_ms, v_wind_ms, humidity_kgkg
1000, 299.0, 3.0, 1.5, 0.015
975, 297.5, 4.0, 2.0, 0.014
950, 296.0, 5.0, 2.5, 0.013
925, 294.0, 6.0, 3.0, 0.012
900, 292.0, 7.0, 3.0, 0.010
850, 288.0, 8.0, 3.5, 0.008
800, 284.0, 9.0, 3.5, 0.006
750, 280.0, 10.0, 3.0, 0.005
700, 275.5, 12.0, 2.5, 0.004
650, 271.0, 13.0, 2.0, 0.003
600, 266.0, 14.0, 1.5, 0.002
550, 261.0, 15.0, 1.0, 0.0015
500, 255.5, 16.0, 0.5, 0.001
450, 249.0, 17.0, 0.0, 0.0005
400, 242.0, 18.0, -0.5, 0.0003
350, 235.0, 20.0, -1.0, 0.0001
300, 228.0, 22.0, -1.0, 0.00005
250, 221.0, 25.0, -0.5, 0.00002
200, 216.0, 28.0, 0.0, 0.00001
